data,hora,taxa
2023/09/19,08:32:17,13.635559460454235
2023/09/19,08:32:19,13.211034972455863
2023/09/19,08:32:22,13.464181730943425
2023/09/19,08:32:24,13.31588012316609
2023/09/19,08:32:26,13.096973353224652
2023/09/19,08:32:29,13.063906921988558
2023/09/19,08:32:32,13.05689246887318
2023/09/19,08:32:35,13.5965024225471
2023/09/19,08:32:37,13.123065673855637
2023/09/19,08:32:40,12.865194720151225
2023/09/19,08:35:35,12.839073546476552
2023/09/19,08:35:38,13.313089842145633
2023/09/19,08:35:41,13.36250662986452
2023/09/19,08:35:43,12.74532094125036
2023/09/19,08:35:46,13.0256765565073
2023/09/19,08:35:48,13.176941097563514
2023/09/19,08:35:51,13.047939453065995
2023/09/19,08:35:53,13.368169723509528
2023/09/19,08:35:55,13.01637713996769
2023/09/19,08:35:58,12.983138769470575
